Measurement Timestamp,Station Name,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
2015-04-25 09:00:00,63rd Street Weather Station,7.0,5.9,86,5.0,5.0,5.2,2,119,5.1,7.1,986.1,38,354.0,12.0,04/25/2015 9:00 AM,63rdStreetWeatherStation201504250900
2015-05-26 11:00:00,Foster Weather Station,16.06,14.8,88,0.0,0.0,7.3,0,146,3.8,4.9,988.5,74,352.0,15.1,05/26/2015 11:00 AM,FosterWeatherStation201505261100
2015-05-26 12:00:00,Foster Weather Station,17.17,14.8,86,0.0,0.0,7.3,0,144,4.4,5.5,987.5,248,352.0,15.1,05/26/2015 12:00 PM,FosterWeatherStation201505261200
2015-05-26 16:00:00,Foster Weather Station,23.28,14.8,65,0.0,0.0,7.3,0,233,4.1,5.1,985.4,229,352.0,15.1,05/26/2015 4:00 PM,FosterWeatherStation201505261600
2015-05-26 19:00:00,Foster Weather Station,22.28,14.8,66,0.0,0.0,7.3,0,208,4.9,5.3,986.1,32,352.0,15.1,05/26/2015 7:00 PM,FosterWeatherStation201505261900
2015-05-26 20:00:00,Foster Weather Station,21.5,14.8,67,0.0,0.0,7.3,0,234,2.5,3.5,986.8,12,352.0,15.1,05/26/2015 8:00 PM,FosterWeatherStation201505262000
2015-05-26 21:00:00,Foster Weather Station,21.0,14.8,70,0.0,0.0,7.3,0,231,4.2,4.5,987.5,0,352.0,15.1,05/26/2015 9:00 PM,FosterWeatherStation201505262100
2015-05-26 22:00:00,Foster Weather Station,20.67,14.8,70,0.0,0.0,7.3,0,189,1.9,2.2,988.1,1,352.0,15.1,05/26/2015 10:00 PM,FosterWeatherStation201505262200
2015-05-26 23:00:00,Foster Weather Station,20.56,14.8,70,0.0,0.0,7.3,0,178,2.5,2.8,988.5,0,352.0,15.1,05/26/2015 11:00 PM,FosterWeatherStation201505262300
2015-05-27 00:00:00,Foster Weather Station,20.78,14.8,73,0.0,0.0,7.3,0,204,4.6,4.9,988.1,0,352.0,15.1,05/27/2015 12:00 AM,FosterWeatherStation201505272400
2015-05-27 01:00:00,Foster Weather Station,21.0,14.8,71,0.0,0.0,7.3,0,238,3.5,4.4,987.8,1,352.0,15.1,05/27/2015 1:00 AM,FosterWeatherStation201505270100
2015-05-27 02:00:00,Foster Weather Station,20.5,14.8,73,0.0,0.0,7.3,0,223,3.7,3.9,987.5,0,352.0,15.1,05/27/2015 2:00 AM,FosterWeatherStation201505270200
2015-05-27 03:00:00,Foster Weather Station,19.67,14.8,76,0.0,0.0,7.3,0,220,3.9,4.7,988.1,1,352.0,15.1,05/27/2015 3:00 AM,FosterWeatherStation201505270300
2015-05-27 11:00:00,Foster Weather Station,21.78,14.8,57,0.0,0.0,7.3,0,237,2.1,3.3,991.9,297,352.0,15.1,05/27/2015 11:00 AM,FosterWeatherStation201505271100
2015-05-27 12:00:00,Foster Weather Station,21.89,14.8,58,0.0,0.0,7.3,0,283,2.9,3.5,992.2,82,352.0,15.1,05/27/2015 12:00 PM,FosterWeatherStation201505271200
2015-05-27 13:00:00,Foster Weather Station,21.06,14.8,62,0.0,0.03,7.3,0,290,3.4,3.7,992.6,250,352.0,15.1,05/27/2015 1:00 PM,FosterWeatherStation201505271300
2015-05-27 16:00:00,Foster Weather Station,20.78,14.8,58,0.0,0.0,7.3,0,278,4.9,5.5,993.9,239,352.0,15.1,05/27/2015 4:00 PM,FosterWeatherStation201505271600
2015-05-27 18:00:00,Foster Weather Station,19.28,14.8,67,0.0,0.0,7.3,0,31,2.4,2.9,994.6,289,352.0,15.1,05/27/2015 6:00 PM,FosterWeatherStation201505271800
2015-05-28 18:00:00,Foster Weather Station,18.89,14.8,66,0.0,0.0,7.3,0,35,0.8,1.0,997.3,306,352.0,15.1,05/28/2015 6:00 PM,FosterWeatherStation201505281800
2015-05-28 19:00:00,Foster Weather Station,19.0,14.8,65,0.0,0.0,7.3,0,82,0.8,1.0,997.3,132,352.0,15.1,05/28/2015 7:00 PM,FosterWeatherStation201505281900
2015-05-28 20:00:00,Foster Weather Station,18.0,14.8,69,0.0,0.0,7.3,0,105,1.0,1.7,996.6,17,352.0,15.1,05/28/2015 8:00 PM,FosterWeatherStation201505282000
2015-05-28 21:00:00,Foster Weather Station,17.0,14.8,73,0.0,0.0,7.3,0,105,3.2,3.6,996.3,0,352.0,15.1,05/28/2015 9:00 PM,FosterWeatherStation201505282100
2015-05-28 22:00:00,Foster Weather Station,16.5,14.8,74,0.0,0.0,7.3,0,74,1.1,1.5,996.3,0,352.0,15.1,05/28/2015 10:00 PM,FosterWeatherStation201505282200
2015-05-28 23:00:00,Foster Weather Station,16.5,14.8,74,0.0,0.0,7.3,0,145,1.6,1.9,995.6,0,352.0,15.1,05/28/2015 11:00 PM,FosterWeatherStation201505282300
2015-05-29 00:00:00,Foster Weather Station,16.56,14.8,73,0.0,0.0,7.3,0,123,2.1,2.4,995.3,0,352.0,15.1,05/29/2015 12:00 AM,FosterWeatherStation201505292400
2015-05-29 01:00:00,Foster Weather Station,17.56,14.8,74,0.0,0.0,7.3,0,143,2.0,2.5,995.6,0,352.0,15.1,05/29/2015 1:00 AM,FosterWeatherStation201505290100
2015-05-29 02:00:00,Foster Weather Station,20.56,14.8,66,0.0,0.0,7.3,0,175,2.2,2.5,994.9,0,352.0,15.1,05/29/2015 2:00 AM,FosterWeatherStation201505290200
2015-05-29 03:00:00,Foster Weather Station,22.56,14.8,61,0.0,0.0,7.3,0,168,3.2,3.6,995.3,1,352.0,15.1,05/29/2015 3:00 AM,FosterWeatherStation201505290300
2015-05-29 04:00:00,Foster Weather Station,22.5,14.8,64,0.0,0.0,7.3,0,204,3.0,3.7,994.6,0,352.0,15.1,05/29/2015 4:00 AM,FosterWeatherStation201505290400
2015-05-29 05:00:00,Foster Weather Station,20.56,14.8,70,0.0,0.0,7.3,0,148,3.4,3.5,993.9,1,352.0,15.1,05/29/2015 5:00 AM,FosterWeatherStation201505290500
2015-05-29 06:00:00,Foster Weather Station,17.39,14.8,83,0.0,0.0,7.3,0,146,1.7,2.0,993.9,30,352.0,15.1,05/29/2015 6:00 AM,FosterWeatherStation201505290600
