Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Rain Intensity_log,Interval Rain_log,Total Rain_log,Wind Direction_log,Maximum Wind Speed_log,Solar Radiation_log,gust_factor,barometric_pressure_rolling_7h,barometric_pressure_rolling_12h,humidity_rolling_12h,humidity_rolling_24h
7.0,5.9,86,5.0,5.0,5.2,2,119,5.1,7.1,986.1,38,354.0,12.0,1.791759469228055,1.791759469228055,1.824549292051046,4.787491742782046,2.0918640616783932,3.6635616461296463,2.4482758620689653,0.0,0.0,0.0,0.0
16.06,14.8,88,0.0,0.0,7.3,0,146,3.8,4.9,988.5,74,352.0,15.1,0.0,0.0,2.1162555148025524,4.990432586778736,1.7749523509116738,4.31748811353631,1.6896551724137934,0.0,0.0,0.0,0.0
17.17,14.8,86,0.0,0.0,7.3,0,144,4.4,5.5,987.5,248,352.0,15.1,0.0,0.0,2.1162555148025524,4.976733742420574,1.8718021769015911,5.517452896464707,1.896551724137931,-1.0,-1.0,-2.0,-2.0
23.28,14.8,65,0.0,0.0,7.3,0,233,4.1,5.1,985.4,229,352.0,15.1,0.0,0.0,2.1162555148025524,5.455321115357702,1.8082887711792657,5.438079308923196,1.7586206896551724,-3.1000000000000227,-3.1000000000000227,-23.0,-23.0
22.28,14.8,66,0.0,0.0,7.3,0,208,4.9,5.3,986.1,32,352.0,15.1,0.0,0.0,2.1162555148025524,5.342334251964811,1.840549633397487,3.49650756146648,1.827586206896552,0.7000000000000455,-2.3999999999999773,-22.0,-22.0
21.5,14.8,67,0.0,0.0,7.3,0,234,2.5,3.5,986.8,12,352.0,15.1,0.0,0.0,2.1162555148025524,5.459585514144159,1.5040773967762742,2.5649493574615367,1.206896551724138,1.3999999999999773,-1.7000000000000457,-21.0,-21.0
21.0,14.8,70,0.0,0.0,7.3,0,231,4.2,4.5,987.5,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.44673737166631,1.7047480922384253,0.0,1.5517241379310345,2.1000000000000227,-1.0,-18.0,-18.0
20.67,14.8,70,0.0,0.0,7.3,0,189,1.9,2.2,988.1,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.247024072160486,1.1631508098056809,0.6931471805599453,0.7586206896551725,2.7000000000000455,-0.3999999999999772,-18.0,-18.0
20.56,14.8,70,0.0,0.0,7.3,0,178,2.5,2.8,988.5,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.187385805840755,1.33500106673234,0.0,0.9655172413793104,2.3999999999999773,1.0,-16.0,-18.0
20.78,14.8,73,0.0,0.0,7.3,0,204,4.6,4.9,988.1,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.3230099791384085,1.7749523509116738,0.0,1.6896551724137934,2.0,2.7000000000000455,8.0,-15.0
21.0,14.8,71,0.0,0.0,7.3,0,238,3.5,4.4,987.8,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.476463551931511,1.6863989535702288,0.6931471805599453,1.517241379310345,1.6999999999999318,2.3999999999999773,6.0,-17.0
20.5,14.8,73,0.0,0.0,7.3,0,223,3.7,3.9,987.5,0,352.0,15.1,0.0,0.0,2.1162555148025524,5.41164605185504,1.589235205116581,0.0,1.3448275862068966,0.7000000000000455,2.1000000000000227,8.0,-15.0
19.67,14.8,76,0.0,0.0,7.3,0,220,3.9,4.7,988.1,1,352.0,15.1,0.0,0.0,2.1162555148025524,5.3981627015177525,1.7404661748405046,0.6931471805599453,1.620689655172414,0.6000000000000227,2.7000000000000455,11.0,-12.0
21.78,14.8,57,0.0,0.0,7.3,0,237,2.1,3.3,991.9,297,352.0,15.1,0.0,0.0,2.1162555148025524,5.472270673671475,1.4586150226995167,5.697093486505405,1.137931034482759,0.0,3.7999999999999545,-16.0,-29.0
21.89,14.8,58,0.0,0.0,7.3,0,283,2.9,3.5,992.2,82,352.0,15.1,0.0,0.0,2.1162555148025524,5.648974238161206,1.5040773967762742,4.418840607796598,1.206896551724138,0.3000000000000682,4.400000000000091,-13.0,-7.0
21.06,14.8,62,0.0,0.03,7.3,0,290,3.4,3.7,992.6,250,352.0,15.1,0.0,0.0295588022415444,2.1162555148025524,5.673323267171493,1.547562508716013,5.5254529391317835,1.2758620689655171,0.7000000000000455,5.100000000000023,-11.0,-3.0
20.78,14.8,58,0.0,0.0,7.3,0,278,4.9,5.5,993.9,239,352.0,15.1,0.0,0.0,2.1162555148025524,5.631211781821365,1.8718021769015911,5.480638923341991,1.896551724137931,2.0,2.0,1.0,-8.0
19.28,14.8,67,0.0,0.0,7.3,0,31,2.4,2.9,994.6,289,352.0,15.1,0.0,0.0,2.1162555148025524,3.4657359027997265,1.3609765531356006,5.66988092298052,1.0,2.3999999999999773,2.7000000000000455,10.0,1.0
18.89,14.8,66,0.0,0.0,7.3,0,35,0.8,1.0,997.3,306,352.0,15.1,0.0,0.0,2.1162555148025524,3.58351893845611,0.6931471805599453,5.726847747587197,0.3448275862068966,0.0,0.0,0.0,0.0
19.0,14.8,65,0.0,0.0,7.3,0,82,0.8,1.0,997.3,132,352.0,15.1,0.0,0.0,2.1162555148025524,4.418840607796598,0.6931471805599453,4.890349128221754,0.3448275862068966,0.0,0.0,-1.0,-1.0
18.0,14.8,69,0.0,0.0,7.3,0,105,1.0,1.7,996.6,17,352.0,15.1,0.0,0.0,2.1162555148025524,4.663439094112067,0.9932517730102832,2.8903717578961645,0.5862068965517241,-0.6999999999999318,-0.6999999999999318,3.0,3.0
