feature,rf_importance,xgb_importance
Barometric Pressure,0.085082940227051,0.07724363
Interval Rain_log,,0.02367506
Maximum Wind Speed,,0.035155945
Maximum Wind Speed_log,,0.0
Rain Intensity,,0.019042153
Solar Radiation,0.015056144799663078,0.0930254
Solar Radiation_log,0.014092802360905708,0.0
Total Rain,0.07309468182592666,0.09685394
Total Rain_log,0.06874572333557112,0.0
Wet Bulb Temperature,0.608301104727712,0.43676466
Wind Direction,0.026820447306234903,0.054280624
Wind Direction_log,0.027115244714092507,0.0
Wind Speed,0.026521841910311067,0.057952408
barometric_pressure_rolling_12h,,0.04060499
barometric_pressure_rolling_7h,,0.017343817
gust_factor,,0.0
humidity_rolling_12h,0.025205093669206896,0.019882841
humidity_rolling_24h,0.029963975123324958,0.028174529
